M.D.	M	I	HUNTSVILLE	AL	US	Diagnostic Radiology	Y	F	X-ray exam of ankle	45.0	41.0	41.0	8.04	0.0	23.0	0.0	5.9144444444	1.6317619047	8.517932212984997E-6	4.961769565497839E-5	2.444916041583132E-5	1.7375252553861021E-4	0.0	2.3469353749513378E-4	0.0	1.597966265330894E-4	4.5530043466998155E-5
		O	CHICAGO	IL	US	Clinical Laboratory	Y	O	Assay of cocaine	77.0	42.0	77.0	20.0	0.0	20.0	0.0	20.0	0.0	1.550700479799833E-5	5.1271618843477674E-5	5.3788152914828905E-5	4.322212843767268E-4	0.0	2.0408129258676227E-4	0.0	5.403605631443216E-4	0.0
MD	M	I	CHICO	CA	US	General Practice	Y	O	Complete cbc w/auto diff wbc	262.0	196.0	261.0	11.02	0.0	25.0	0.0	10.945496183	0.8494742098	5.5912580680106656E-5	3.0597578987236673E-4	2.03743003465261E-4	2.3815360424576636E-4	0.0	2.5510170076738144E-4	0.0	2.957257240669951E-4	2.37023536245618E-5
M.D.	M	I	LEESBURG	FL	US	Ophthalmology	Y	O	Eye exam new patient	295.0	295.0	295.0	144.4	0.0	175.0	0.0	93.346101695	41.856681099	6.312006178340166E-5	4.6971418553379545E-4	2.314520519365365E-4	0.0031206421538969363	0.0	0.0017857139461859566	0.0	0.0025220276039618654	0.0011679010916559672
M.D.	M	I	LANCASTER	OH	US	Dermatology	Y	O	Office/outpatient visit est	216.0	195.0	216.0	68.47	0.0	85.0	0.0	46.056018519	18.810146318	4.586578883914999E-5	3.0432186668386744E-4	1.67069262841514E-4	0.0014797113128786927	0.0	8.673465989348115E-4	0.0	0.0012443428051556072	5.248478819197521E-4
MD	M	I	GREENVILLE	SC	US	Anesthesiology	Y	F	Insert/place heart catheter	25.0	24.0	24.0	127.34	0.0	1460.0	48.989794856	97.7952	19.962361608	4.149761847351666E-6	2.1501001450490637E-5	1.0594636180193573E-5	0.002751956783848586	0.0	0.014897958848605083	9.209324751430504E-4	0.0026422334672405777	5.569974327126324E-4
M.D	F	I	NEWPORT BEACH	CA	US	Internal Medicine	Y	F	Initial hospital care	54.0	54.0	54.0	209.76	0.0	410.0	0.0	165.64240741	15.101990172	1.0483608877519997E-5	7.111869710546903E-5	3.504379659602489E-5	0.004533143665406911	0.0	0.004183673130675057	0.0	0.004475331227432437	4.2138149382507705E-4
D.O.	F	I	COLUMBUS	GA	US	Family Practice	Y	O	Flu vaccine no preserv 3 & >	31.0	30.0	31.0	12.392903226	0.0095692884	30.0	0.0	11.98	2.188356284	5.460212957041666E-6	3.1424540581486316E-5	1.629944027722088E-5	2.678235534789659E-4	2.1358385156771783E-7	3.061221089480006E-4	0.0	3.236759773234486E-4	6.106035227615923E-5
PT	M	I	ALBUQUERQUE	NM	US	Physical Therapist	Y	O	Pt evaluation	48.0	43.0	48.0	70.91	0.0	130.0	0.0	56.73	0.0	9.173157767829998E-6	5.292554203197695E-5	3.0153964512858627E-5	0.0015324423974577062	0.0	0.001326530272560384	0.0	0.001532732737358868	0.0
M.D.	M	I	ROCK PORT	MO	US	Family Practice	Y	O	Office/outpatient visit est	152.0	114.0	152.0	38.49	0.0	44.038815789	2.4522921432	22.268947368	13.498698629	3.1887643669123326E-5	1.703540884154258E-4	1.1491105395440721E-4	8.31810527764417E-4	0.0	4.493753313334608E-4	4.609930455616994E-5	6.016630470201869E-4	3.7664584125664594E-4
